scrape_time_utc,river_level,measurement_time
2025-12-23T14:49:36.304932Z,0.68m,2025-12-23T14:15:00Z
2025-12-23T15:45:45.148725Z,0.68m,2025-12-23T15:15:00Z
2025-12-23T16:57:24.684760Z,0.68m,2025-12-23T16:15:00Z
2025-12-23T17:45:43.263738Z,0.68m,2025-12-23T17:15:00Z
2025-12-23T18:59:48.609540Z,0.68m,2025-12-23T18:15:00Z
2025-12-23T19:44:07.451566Z,0.68m,2025-12-23T19:15:00Z
2025-12-23T20:44:35.607478Z,0.68m,2025-12-23T20:15:00Z
2025-12-23T21:47:23.895301Z,0.68m,2025-12-23T21:15:00Z
2025-12-24T03:53:43.181850Z,0.68m,2025-12-24T03:15:00Z
2025-12-24T04:59:24.673856Z,0.68m,2025-12-24T04:15:00Z
2025-12-24T05:51:12.371987Z,0.68m,2025-12-24T05:15:00Z
2025-12-24T07:02:23.451395Z,0.67m,2025-12-24T06:15:00Z
2025-12-24T07:58:56.387953Z,0.68m,2025-12-24T07:15:00Z
2025-12-24T08:59:15.062633Z,0.68m,2025-12-24T08:15:00Z
2025-12-24T09:46:44.007196Z,0.68m,2025-12-24T09:15:00Z
2025-12-24T10:48:38.613651Z,0.68m,2025-12-24T10:15:00Z
2025-12-24T11:34:06.042790Z,0.68m,2025-12-24T10:45:00Z
2025-12-24T11:46:47.133997Z,0.68m,2025-12-24T11:15:00Z
2025-12-24T13:44:57.581584Z,0.68m,2025-12-24T13:15:00Z
2025-12-24T14:45:07.009975Z,0.68m,2025-12-24T14:15:00Z
2025-12-24T15:43:29.019637Z,0.68m,2025-12-24T15:15:00Z
2025-12-24T16:52:57.284999Z,0.68m,2025-12-24T16:15:00Z
2025-12-24T17:34:53.887429Z,0.68m,2025-12-24T16:45:00Z
2025-12-24T17:59:03.142643Z,0.68m,2025-12-24T17:15:00Z
2025-12-24T18:57:52.309211Z,0.68m,2025-12-24T18:15:00Z
2025-12-24T19:28:03.410445Z,0.68m,2025-12-24T18:45:00Z
2025-12-24T19:44:30.817341Z,0.68m,2025-12-24T19:15:00Z
2025-12-24T20:59:26.318558Z,0.68m,2025-12-24T20:15:00Z
2025-12-24T21:46:34.808987Z,0.68m,2025-12-24T21:00:00Z
2025-12-24T22:44:30.884125Z,0.68m,2025-12-24T22:15:00Z
2025-12-25T03:56:48.721899Z,0.68m,2025-12-25T03:15:00Z
2025-12-25T05:00:04.743048Z,0.68m,2025-12-25T04:15:00Z
2025-12-25T05:50:49.185172Z,0.68m,2025-12-25T05:15:00Z
2025-12-25T07:40:57.854408Z,0.68m,2025-12-25T07:15:00Z
2025-12-25T08:56:21.671811Z,0.68m,2025-12-25T08:15:00Z
2025-12-25T09:50:52.678621Z,0.68m,2025-12-25T09:15:00Z
2025-12-25T10:53:31.927762Z,0.67m,2025-12-25T10:15:00Z
2025-12-25T11:37:58.546236Z,0.67m,2025-12-25T11:15:00Z
2025-12-25T13:51:22.510479Z,0.67m,2025-12-25T13:15:00Z
2025-12-25T14:50:27.296779Z,0.67m,2025-12-25T14:15:00Z
2025-12-25T15:45:31.059592Z,0.67m,2025-12-25T15:15:00Z
2025-12-25T16:53:21.640067Z,0.68m,2025-12-25T16:15:00Z
2025-12-25T17:37:55.060402Z,0.67m,2025-12-25T17:15:00Z
2025-12-25T19:01:02.941432Z,0.67m,2025-12-25T18:15:00Z
2025-12-25T19:28:16.967594Z,0.67m,2025-12-25T18:45:00Z
2025-12-25T19:59:01.191642Z,0.67m,2025-12-25T19:15:00Z
2025-12-25T20:58:48.651261Z,0.67m,2025-12-25T19:30:00Z
2025-12-25T22:58:56.851964Z,0.67m,2025-12-25T21:45:00Z
2025-12-26T03:52:57.673452Z,0.67m,2025-12-26T03:15:00Z
2025-12-26T05:47:51.051054Z,0.67m,2025-12-26T05:00:00Z
2025-12-26T07:00:57.789351Z,0.67m,2025-12-26T06:15:00Z
2025-12-26T07:41:01.300051Z,0.67m,2025-12-26T07:15:00Z
2025-12-26T08:56:04.196475Z,0.67m,2025-12-26T08:15:00Z
2025-12-26T09:41:15.802808Z,0.67m,2025-12-26T09:15:00Z
2025-12-26T10:53:34.134118Z,0.67m,2025-12-26T10:15:00Z
2025-12-26T11:39:26.789267Z,0.67m,2025-12-26T11:15:00Z
2025-12-26T13:52:13.859277Z,0.67m,2025-12-26T13:15:00Z
2025-12-26T14:52:31.390559Z,0.67m,2025-12-26T14:15:00Z
2025-12-26T15:59:28.590957Z,0.67m,2025-12-26T15:00:00Z
2025-12-26T16:55:25.654821Z,0.67m,2025-12-26T16:15:00Z
2025-12-26T17:39:14.507076Z,0.67m,2025-12-26T17:15:00Z
2025-12-26T18:56:02.554296Z,0.67m,2025-12-26T18:15:00Z
2025-12-26T19:28:17.556326Z,0.67m,2025-12-26T18:45:00Z
2025-12-26T19:44:34.256009Z,0.67m,2025-12-26T19:15:00Z
2025-12-26T20:41:25.130866Z,0.67m,2025-12-26T20:00:00Z
